"h3_id","h3_mean_temp","h3_median_temp","h3_center_lon","h3_center_lat","species","n_occ","min_seabed_t","mean_seabed_t","median_seabed_t","max_seabed_t","mid_point","thermal_range","seabed_thermal_pos"
"852a6937fffffff",1.82,1.82,-62.3740355735203,31.8250280783739,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
"852a693bfffffff",1.829,1.829,-62.6053403709689,31.9499326260096,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6943fffffff",1.831,1.831,-62.9662643241013,32.3061770821529,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6947fffffff",1.831,1.831,-62.9020067132705,32.1903818827836,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a694bfffffff",1.829,1.829,-63.1369607369798,32.3155242679575,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a694ffffffff",1.831,1.831,-63.0722376668101,32.1997529531707,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6953fffffff",1.83,1.83,-62.8598701853741,32.4126840453433,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6957fffffff",1.83,1.83,-62.7957545366462,32.2966088038561,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a695bfffffff",1.83,1.83,-63.0308476985088,32.4222291551877,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6963fffffff",1.83,1.83,-62.9437659052436,31.9689799954129,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6967fffffff",1.828,1.828,-62.8800126561999,31.8539794057963,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a696bfffffff",1.831,1.831,-63.1132566067404,31.9781790320991,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a696ffffffff",1.829,1.829,-63.0490442863902,31.8632009785302,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
