"lat","lon","h3_id","btemp","sal","mixl","country","month","year"
41.479,-71.3612,"862a3330fffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",7,2007
42.6609,-70.6238,"862a30067ffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",6,2013
36.191347,-75.793511,"862af0767ffffff",3.29548023144404,35.7969404856364,40.1572738488515,"US",10,2025
47.195984,-55.433189,"861ab50efffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",10,2025
48.653963,-53.750933,"861aa441fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",9,2025
45.387322,-63.995645,"862b0140fffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",8,2025
46.235529,-64.261438,"862b000f7ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",4,2025
47.828507,-53.167095,"861aa0547ffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",7,2025
49.628853,-57.956478,"861b9e077ffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",7,2025
48.018615,-64.532256,"862b316b7ffffff",0.372539456933737,28.4254480997721,14.6234529813131,"CA",7,2025
45.38743,-64.069358,"862b014e7ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",7,2025
41.766706,-70.232552,"862a310afffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",6,2025
42.596106,-70.864592,"862a300c7ffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",4,2025
47.237449,-53.973503,"861aa210fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",5,2025
47.617808,-52.870643,"861aa070fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",6,2025
47.624596,-59.273283,"862b257afffffff",0.992492474615574,30.1871294975281,17.471847375234,"CA",6,2025
40.744294,-73.33479,"862a10a17ffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",6,2025
39.859718,-74.033443,"862a13a17ffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",6,2025
45.099083,-64.183934,"862b016b7ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",5,2025
45.869758,-64.545512,"862b00647ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",5,2025
41.326812,-71.799701,"862a15937ffffff",8.08975487947464,31.6100548108419,12.7541941006978,"US",5,2025
40.058661,-74.179895,"862a138c7ffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",5,2025
49.091011,-58.424122,"861b9e6b7ffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",4,2025
45.093239,-64.171988,"862b016a7ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",3,2025
47.636139,-53.739395,"861aa2947ffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",7,2016
47.746776,-53.167086,"861aa055fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",10,2018
49.75373,-57.917858,"861b9e16fffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",1,2025
43.479397,-65.443895,"862b0a01fffffff",6.19547112782796,31.2702821095784,20.3456740379333,"CA",11,2024
40.15805,-74.014191,"862a1380fffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",11,2024
40.105666,-74.174621,"862a138f7ffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",11,2024
40.063883,-74.126399,"862a138efffffff",10.5267800887426,31.7887150446574,15.0812305609385,"US",11,2024
41.584106,-70.558448,"862a31617ffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",9,2024
47.617151,-52.691367,"861aa0767ffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",9,2024
41.335339,-70.633262,"862a06d67ffffff",8.08975487947464,31.6100548108419,12.7541941006978,"US",5,2019
49.952299,-57.754714,"861b9eb17ffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",9,2024
45.725474,-64.670108,"862b0398fffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",8,2019
41.681713,-69.889993,"862a31067ffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",9,2024
49.116399,-58.411028,"861b9e6b7ffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",8,2024
47.246692,-53.964938,"861aa212fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",8,2024
48.387553,-53.314906,"861aa468fffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",9,2024
45.8779,-63.524887,"862b01da7ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",8,2024
47.267,-53.893,"861aa2177ffffff",1.47297587990761,31.3264869054159,16.2511072158813,"CA",6,2021
46.565114,-63.652249,"862b00817ffffff",0.266335044056177,28.5962249437968,14.3691320419312,"CA",7,2008
46.037133,-59.966827,"862b2c4afffffff",1.46931367119153,31.2292092641195,18.2983901500702,"CA",6,2016
49.935149,-57.770439,"861b9eba7ffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",7,2024
41.499394,-70.75314,"862a3169fffffff",7.17178875207901,31.4521849155426,10.636972506841,"US",7,2024
50.115478,-57.664255,"861b9c48fffffff",-1.00335701555014,31.183304309845,18.3111062844594,"CA",6,2024
45.944397,-61.142486,"862b2e0d7ffffff",1.46931367119153,31.2292092641195,18.2983901500702,"CA",10,2020
49.682645,-57.9644,"861b9e15fffffff",2.4789880613486,30.998285929362,16.2892552216848,"CA",6,2024
40.983212,-72.282889,"862a1511fffffff",8.08975487947464,31.6100548108419,12.7541941006978,"US",6,2024
45.754831,-61.900723,"862b2ada7ffffff",1.46931367119153,31.2292092641195,18.2983901500702,"CA",5,2024
