"occ","h3_id","btemp_global","sal_global","ml_global"
0,"851a9657fffffff",3.58246472658533,32.2683865939728,19.0881339558447
0,"852aabb3fffffff",15.9812310663137,12.8624072773288,10.3762941360474
0,"851b8857fffffff",2.60908232695527,32.7157442266291,25.4697780806609
0,"852af183fffffff",3.67166555690444,35.8173306461938,22.878607562094
0,"851aac2bfffffff",0.252978117068797,32.3982318940789,25.8906406982981
0,"852a301bfffffff",8.24123125786733,31.642866031088,11.5490597907943
0,"851b8c0bfffffff",3.30115790198548,33.0172560134721,25.704395577161
0,"851a80dbfffffff",0.207573419037943,32.086938804087,24.1968633319392
0,"852a1daffffffff",2.08257616649974,35.5723688096711,32.8622130366287
0,"852b04c3fffffff",0.736489642762676,28.7584250575364,15.1080756934002
0,"852a036bfffffff",2.79269564166816,35.0259643275328,39.8061377273666
0,"852a1e13fffffff",9.3390463160144,32.486273174334,19.1224287248621
0,"851a8893fffffff",4.82257526280101,32.209530265243,22.229575376318
0,"851aa4b3fffffff",2.111887717755,32.130958726671,18.4347218325644
0,"852b2307fffffff",1.33345265139948,29.2358149121506,14.8278731228125
0,"851a822ffffffff",2.67622498761524,33.0307337346703,23.5723706441696
0,"851ab31bfffffff",2.79110775323528,31.9534188364491,20.568301006399
0,"852a1adbfffffff",10.8040591544575,32.2398496974598,14.6943545991724
0,"852b145bfffffff",1.85838026233544,20.9846118520005,10.5485379262404
0,"851ab217fffffff",5.40599236223433,31.7185373113613,23.6071470549612
0,"850e4dbbfffffff",4.06705103702655,26.1971482484028,7.55352427983525
0,"851aa0cffffffff",2.60269249120558,31.4760931645981,16.2049632409606
0,"851a8e7bfffffff",4.42455533156893,32.7723848875926,18.3921551937206
0,"851a92d7fffffff",2.1225296121053,33.2441013480678,26.1162926996597
0,"851a8553fffffff",0.359021612805211,32.092818503428,24.4157719991424
0,"852b1dd7fffffff",6.72089529865318,30.6939632659809,17.8571820921368
0,"852b6297fffffff",1.82265140938036,35.4938965864856,53.8681774447663
0,"852b2e53fffffff",4.04908518301894,28.1531528575653,14.4183265793604
0,"852a1d03fffffff",2.37550623090279,35.3061063024733,34.0512597103312
0,"852af407fffffff",11.8703213192598,32.9695657443519,17.0771683177563
0,"851ba24bfffffff",0.614901436718576,28.594463850914,11.7482135817659
0,"851ba36bfffffff",-0.295461075562319,31.5533148744692,15.6783710826527
0,"852b701bfffffff",1.97947696579827,33.6775620007756,30.5349261466903
0,"852b2d07fffffff",3.22690272861057,31.2267477199285,21.4128198797053
0,"851b8c97fffffff",3.25691191892231,33.0814631362555,24.9457357443543
0,"852a3417fffffff",6.59834545113222,31.7396216500889,17.8791461544808
0,"851aaa4ffffffff",1.63344728529002,32.3181883482018,23.3032142820984
0,"851b8807fffffff",2.2868978633122,32.8628835967093,26.266573268717
0,"852a0567fffffff",3.19279869497826,34.8492220483645,36.3888286685301
0,"851ab6b3fffffff",2.9382627314728,31.6942959062981,21.7566925549748
0,"851b9373fffffff",3.52679850550538,31.0654336354548,21.6863176493532
0,"851aac1bfffffff",0.0190088888818417,32.3278639461055,26.8014756964915
0,"852b3463fffffff",1.1704505214637,28.9803033886534,13.200411825469
0,"852b6613fffffff",1.84155513072255,34.924953747759,47.9216917842326
0,"852a26a3fffffff",8.49950237876237,32.117805690958,22.6868135529335
0,"852b3537fffffff",5.69515875734464,30.292561528177,19.7873238019269
0,"852b746ffffffff",2.08750213524609,33.2581563814722,24.7384898758898
0,"852a2077fffffff",8.96902881336935,32.5060957790625,24.5855119119991
0,"852a31cffffffff",7.04193984423623,31.8037162898767,21.1506380559218
0,"852b2e27fffffff",2.61215230591144,29.7855835502798,15.2826644097916
0,"852a24affffffff",9.27876670703743,31.6999996262367,19.9877942150289
0,"851aa30ffffffff",-0.466327799679806,31.9375268550834,20.982555115825
0,"851b8e1bfffffff",1.47188229817483,32.1639243015135,19.2552728701119
0,"851b83cbfffffff",1.03778378111357,30.9322626084992,13.7506699188791
0,"851b9133fffffff",0.881564464639584,31.0074253427461,18.9986077976548
0,"851ba283fffffff",-0.198339157195304,31.4192042920726,18.5547022269631
0,"852b0a53fffffff",9.48806678394627,31.3481929278133,7.01925754547119
0,"852b0817fffffff",9.10850718406716,30.9950008440499,17.8662374838434
0,"851ab107fffffff",0.486213329818213,31.8408271038171,21.3896226950366
0,"851a862ffffffff",4.37931965402506,32.2528932636434,24.5578642060058
0,"852b445bfffffff",1.82164106299781,35.6017563872867,50.8994430243367
0,"851a9cc7fffffff",2.02216246535983,33.4387339449892,27.0290158475288
0,"852b0a8ffffffff",5.14347801121698,31.083951523007,16.5476220665556
0,"850e49b3fffffff",3.56262076023326,24.2245784040653,10.5453589125113
0,"852b1b13fffffff",7.9877916878522,32.038504601729,26.8367337253359
0,"852b1b83fffffff",8.22680062206105,32.0092451247302,26.1384108849246
0,"852b29b3fffffff",5.38451177819886,31.6334546195136,17.6659790183559
0,"852b09d7fffffff",8.79096716762793,31.7743277838736,17.4931371446812
0,"852b3263fffffff",1.50535694368635,21.9673387137326,10.5943927909389
0,"851aa0cbfffffff",-0.381969181660826,31.4849578033794,19.5722107477862
0,"851a959bfffffff",6.2351895172544,32.1151110788788,20.4393102273797
0,"851ab2d7fffffff",5.52046513738054,31.5189950217302,22.0940659704433
0,"852b0c8ffffffff",8.23845038600642,30.6143431519017,14.9959754052788
